115,./playback/STIMULI/wavFilesTest/2300-131720-0024_672-122797-0066_04_77_nspkrs_2.wav,2,2,TRAIN, 0.03,9.684,9.800
50,./playback/STIMULI/wavFilesTest/89-219-0056_89-218-0015_04_99_nspkrs_1.wav,1,2,TRAIN, 0.34,9.616,9.660
25,./playback/STIMULI/wavFilesTest/5968-61356-0016_5968-55202-0008_03_66_nspkrs_1.wav,1,1,TEST, 0.11,8.008,8.043
154,./playback/STIMULI/wavFilesTest/5883-59268-0062_8028-233382-0047_03_27_nspkrs_2.wav,2,2,TEST, 0.17,6.422,6.458
151,./playback/STIMULI/wavFilesTest/2039-141208-0041_7874-110243-0082_04_30_nspkrs_2.wav,2,2,TEST, 0.12,9.001,9.036
91,./playback/STIMULI/wavFilesTest/7850-286674-0008_7850-286674-0001_02_75_nspkrs_1.wav,1,1,TEST, 0.14,5.811,5.847
139,./playback/STIMULI/wavFilesTest/6848-252322-0023_8527-281131-0007_02_76_nspkrs_2.wav,2,2,TEST, 0.21,6.336,6.375
16,./playback/STIMULI/wavFilesTest/6574-70753-0021_6574-120583-0026_03_49_nspkrs_1.wav,1,1,TEST, 0.24,7.160,7.193
136,./playback/STIMULI/wavFilesTest/3792-176660-0030_5092-28465-0084_03_88_nspkrs_2.wav,2,2,TEST, 0.45,7.907,7.939
60,./playback/STIMULI/wavFilesTest/1121-176698-0027_1121-135824-0024_03_90_nspkrs_1.wav,1,1,TEST, 0.11,7.984,8.014
122,./playback/STIMULI/wavFilesTest/1284-1181-0021_339-132717-0020_02_70_nspkrs_2.wav,2,2,TEST, 0.22,5.892,5.927
119,./playback/STIMULI/wavFilesTest/4236-8927-0076_6330-66016-0028_04_62_nspkrs_2.wav,2,2,TEST, 0.11,9.022,9.056
142,./playback/STIMULI/wavFilesTest/3170-137482-0029_4335-15082-0020_02_90_nspkrs_2.wav,2,2,TEST, 0.31,5.834,5.864
181,./playback/STIMULI/wavFilesTest/398-130093-0003_6295-244435-0040_03_91_nspkrs_2.wav,2,2,TEST, 0.14,8.016,8.055
159,./playback/STIMULI/wavFilesTest/4238-12538-0036_7342-254918-0046_03_73_nspkrs_2.wav,2,2,TEST, 0.18,8.236,8.269
170,./playback/STIMULI/wavFilesTest/1052-139307-0016_8014-112602-0024_03_13_nspkrs_2.wav,2,2,TEST, 0.15,6.730,6.762
53,./playback/STIMULI/wavFilesTest/1988-24833-0010_1988-147956-0016_03_03_nspkrs_1.wav,1,2,TEST, 0.13,6.417,6.450
120,./playback/STIMULI/wavFilesTest/1594-135914-0052_5776-46889-0111_03_56_nspkrs_2.wav,2,2,TEST, 0.12,7.231,7.267
54,./playback/STIMULI/wavFilesTest/7021-85628-0025_7021-85628-0004_02_77_nspkrs_1.wav,1,1,TEST, 1.64,7.306,7.342
35,./playback/STIMULI/wavFilesTest/652-130737-0004_652-130726-0009_04_99_nspkrs_1.wav,1,1,TEST, 0.30,9.212,9.247
51,./playback/STIMULI/wavFilesTest/7802-104398-0012_7802-104394-0048_02_90_nspkrs_1.wav,1,1,TEST, 0.07,5.601,5.637
134,./playback/STIMULI/wavFilesTest/1183-128659-0014_3615-14674-0057_03_03_nspkrs_2.wav,2,2,TEST, 0.04,6.164,6.196
14,./playback/STIMULI/wavFilesTest/481-123720-0043_481-123719-0004_02_98_nspkrs_1.wav,1,1,TEST, 0.06,6.647,6.680
46,./playback/STIMULI/wavFilesTest/5386-8684-0046_5386-4145-0024_03_67_nspkrs_1.wav,1,1,TEST, 2.49,10.871,10.911
93,./playback/STIMULI/wavFilesTest/7704-106974-0008_7704-106969-0000_04_68_nspkrs_1.wav,1,1,TEST, 0.24,8.356,8.391
179,./playback/STIMULI/wavFilesTest/2853-164188-0026_6937-262269-0040_03_54_nspkrs_2.wav,2,2,TEST, 0.13,7.154,7.195
107,./playback/STIMULI/wavFilesTest/40-121026-0007_7140-72205-0023_04_95_nspkrs_2.wav,2,2,TEST, 0.11,9.433,9.468
133,./playback/STIMULI/wavFilesTest/1502-122619-0087_227-126539-0056_04_75_nspkrs_2.wav,2,2,TEST, 0.08,9.484,9.518
92,./playback/STIMULI/wavFilesTest/1183-133256-0009_1183-128659-0010_03_48_nspkrs_1.wav,1,1,TEST, 0.07,6.964,6.999
95,./playback/STIMULI/wavFilesTest/8464-282934-0092_8464-282934-0065_02_94_nspkrs_1.wav,1,1,TEST, 0.14,5.877,5.917
177,./playback/STIMULI/wavFilesTest/2709-158074-0036_5142-33396-0010_03_24_nspkrs_2.wav,2,2,TEST, 0.15,6.917,6.950
